stakeholder_name,section,comment
"Confederation of Indian Industry (CII)","Section 135 - CSR","We welcome the proposed amendment to Section 135 which broadens the scope of CSR activities. This will enable companies to contribute more effectively towards sustainable development goals. The inclusion of technology-driven initiatives is particularly commendable."
"FICCI","Section 135 - CSR","While the intent behind expanding CSR obligations is appreciated, we are concerned about the increased compliance burden on small and medium enterprises. The threshold for mandatory CSR spending should be revised upward to protect SMEs from disproportionate regulatory pressure."
"Institute of Company Secretaries of India (ICSI)","Section 149 - Board Composition","The requirement to have at least one woman director on boards of listed companies is a positive step towards gender diversity. However, clarity is needed on the timeline for compliance and the consequences of non-compliance."
"Bombay Chamber of Commerce","Section 149 - Board Composition","We strongly oppose the proposal to mandate independent directors for private limited companies with turnover exceeding Rs. 250 crore. This will create unnecessary governance costs and discourage entrepreneurship. The existing framework for private companies is adequate."
"Association of Chartered Accountants","Section 166 - Duties of Directors","The proposed amendment clarifying director duties is a welcome step. The codification of fiduciary responsibilities will bring Indian corporate law closer to international best practices, particularly the UK Companies Act framework."
"National Association of Software Companies (NASSCOM)","Section 135 - CSR","We suggest that digital literacy and technology access programs be explicitly included in Schedule VII of the Companies Act. This would incentivize IT companies to leverage their core competencies for social impact rather than limiting CSR to traditional philanthropy."
"Small and Medium Business Development Chamber","Section 166 - Duties of Directors","The proposed penalties for breach of director duties are disproportionately harsh. Small company directors often serve in multiple capacities and may inadvertently breach technical requirements. We recommend a graded penalty structure based on company size and nature of breach."
"Indian Banks' Association","Section 149 - Board Composition","We note that the proposed changes to board composition requirements align with RBI's corporate governance guidelines for banks. However, the transition period of six months is insufficient for public sector banks. We recommend at least twelve months for compliance."
"Transparency International India","Section 135 - CSR","The amendment does not adequately address the issue of CSR fund diversion and misutilization. We recommend mandatory third-party auditing of CSR expenditure and public disclosure of project outcomes. Without accountability mechanisms, expanded CSR mandates will remain ineffective."
"PHD Chamber of Commerce","Section 166 - Duties of Directors","The current wording of the proposed amendment is ambiguous regarding the duty of care standard. It is unclear whether the test is subjective or objective. We recommend adopting the business judgment rule explicitly, as practiced in Delaware corporate law."
"Federation of Indian Chambers of Commerce (FICCI)","Section 149 - Board Composition","The requirement for board diversity is laudable, but the proposed implementation timeline is impractical. Companies need at least 18 months to identify, recruit, and onboard qualified independent and women directors. A phased implementation approach would be more pragmatic."
"Securities and Exchange Board of India (SEBI)","Section 135 - CSR","From a regulatory perspective, the proposed CSR amendments complement SEBI's Business Responsibility and Sustainability Reporting framework. We suggest harmonizing the reporting requirements to avoid duplication of compliance for listed entities."
"Consumer Unity and Trust Society (CUTS)","Section 166 - Duties of Directors","We observe that the proposed duties framework lacks specific provisions regarding director accountability to stakeholders beyond shareholders. Modern corporate governance principles emphasize the stakeholder approach. We recommend including provisions for environmental and social responsibility duties."
"All India Manufacturers Organisation","Section 135 - CSR","The mandatory CSR spending requirement of 2% of average net profit is burdensome for manufacturing companies operating on thin margins. We request that the committee consider allowing CSR spending to be counted as a tax deduction to ease the financial impact on the manufacturing sector."
"Indian Institute of Corporate Affairs","Section 149 - Board Composition","The proposed changes represent a balanced approach to strengthening corporate governance. The emphasis on board independence and diversity reflects global best practices. We recommend including provisions for board evaluation and succession planning as well."
"Centre for Science and Environment","Section 135 - CSR","Environmental sustainability must be given higher priority in the CSR framework. We recommend that at least 25% of mandatory CSR spending be directed towards environmental conservation, climate change mitigation, and sustainable natural resource management."
"Confederation of Real Estate Developers","Section 166 - Duties of Directors","The real estate sector has unique challenges that make strict director duty compliance difficult. Construction projects span multiple years, and directors cannot always foresee market downturns. The proposed strict liability standard should include safe harbor provisions for good faith business decisions."
"National Stock Exchange","Section 149 - Board Composition","We support the enhanced board composition requirements for listed companies. These align with NSE's listing obligations and will improve investor confidence. We suggest that the committee also consider mandating a minimum number of board meetings per year."
"Society for Corporate Governance","Section 166 - Duties of Directors","The proposed amendment is a significant improvement over the current vague provisions. However, we recommend including clear definitions of 'conflict of interest' and establishing a framework for related party transactions that is consistent with international accounting standards."
"Young Indians (Yi) - CII Youth Wing","Section 135 - CSR","We appreciate the inclusion of innovation and startup ecosystem development in the proposed CSR activities. Young entrepreneurs and startups can benefit significantly from corporate mentorship and funding channeled through CSR. This amendment has the potential to foster India's innovation economy."
